msp_name	species	genus	family	order	class	phylum	superkingdom	knowledge
msp_1854	unclassified Acutalibacteraceae 3	Acutalibacteraceae 3	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1855	unclassified Clostridiales 2b	unclassified Clostridiales 2b	Clostridiales 2b	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1856	unclassified Bacilli RFN20 CAG-826	unclassified Bacilli RFN20 CAG-826	Bacilli RFN20 CAG-826	Bacilli RFN20	Bacilli	Firmicutes	Bacteria	unknown
msp_1857	unclassified Mycoplasmatales	unclassified Mycoplasmatales	unclassified Mycoplasmatales	Mycoplasmatales	Bacilli	Firmicutes	Bacteria	unknown
msp_1858	unclassified Clostridiales 2b	unclassified Clostridiales 2b	Clostridiales 2b	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1859	unclassified Alistipes	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1860	unclassified Bacilli RF39 CAG-822 UBA3631	Bacilli RF39 CAG-822 UBA3631	Bacilli RF39 CAG-822	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1861	unclassified Fusobacterium	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota	Bacteria	unknown
msp_1862	unclassified Lachnoclostridium 2	Lachnoclostridium 2	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1863	[Escherichia coli] CIM:MAG 560	Acutalibacteraceae 2	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1864	unclassified Lachnospiraceae	unclassified Lachnospiraceae	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1865	unclassified Lachnospiraceae J	unclassified Lachnospiraceae J	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1866	unclassified Clostridium	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1867	unclassified Bacilli RFN20 CAG-826	unclassified Bacilli RFN20 CAG-826	Bacilli RFN20 CAG-826	Bacilli RFN20	Bacilli	Firmicutes	Bacteria	unknown
msp_1868	unclassified Bacilli RF39 CAG-822 CAG-878	Bacilli RF39 CAG-822 CAG-878	Bacilli RF39 CAG-822	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1869	unclassified_Holdemanella	Holdemanella	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	unknown
msp_1870	unclassified Odoribacter	Odoribacter	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1871	unclassified Monoglobaceae	unclassified Monoglobaceae	Monoglobaceae	Monoglobales	Clostridia	Firmicutes	Bacteria	unknown
msp_1873	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1874	unclassified Oscillospirales 5	unclassified Oscillospirales 5	Oscillospirales 5	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1875	unclassified Christensenellales CAG-138	unclassified Christensenellales CAG-138	Christensenellales CAG-138	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_1876	unclassified Rhodocyclaceae	unclassified Rhodocyclaceae	Rhodocyclaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_1877	unclassified Oscillospirales 4 UBA1777	Oscillospirales 4 UBA1777	Oscillospirales 4	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1878	unclassified Barnesiellaceae	unclassified Barnesiellaceae	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1879	unclassified Bacteroidaceae	unclassified Bacteroidaceae	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1880	unclassified Phascolarctobacterium	Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	unknown
msp_1881	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1882	unclassified Megamonas	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	unknown
msp_1883	Aeromonas caviae	Aeromonas	Aeromonadaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_1884	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1885	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1886	Atopobiaceae sp1	unclassified Atopobiaceae	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	unknown
msp_1887	unclassified Burkholderiaceae CAG-521	Burkholderiaceae CAG-521	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_1888	unclassified Gastranaerophilaceae	unclassified Gastranaerophilaceae	Gastranaerophilaceae	Gastranaerophilales	Vampirovibrionia	Cyanobacteria	Bacteria	unknown
msp_1889	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1890	unclassified Bacilli RFN20 CAG-826	unclassified Bacilli RFN20 CAG-826	Bacilli RFN20 CAG-826	Bacilli RFN20	Bacilli	Firmicutes	Bacteria	unknown
msp_1891	unclassified Mediterraneibacter	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1892	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1893	unclassified Oscillospirales	unclassified Oscillospirales	unclassified Oscillospirales	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1894	unclassified Oscillospirales	unclassified Oscillospirales	unclassified Oscillospirales	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1895	unclassified Muribaculaceae CAG-485	Muribaculaceae CAG-485	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1896	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1897	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1898	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1899	unclassified Monoglobaceae	unclassified Monoglobaceae	Monoglobaceae	Monoglobales	Clostridia	Firmicutes	Bacteria	unknown
msp_1900	unclassified Bacilli RFN20 CAG-288	unclassified Bacilli RFN20 CAG-288	Bacilli RFN20 CAG-288	Bacilli RFN20	Bacilli	Firmicutes	Bacteria	unknown
msp_1901	Eggerthella sinensis	Eggerthella	Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	known
msp_1902	unclassified Negativibacillus	Negativibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1903	unclassified Clostridiales 1c	unclassified Clostridiales 1c	Clostridiales 1c	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1904	unclassified Bacteroides 2	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1905	unclassified Oscillospirales 1 CAG-272	unclassified Oscillospirales 1 CAG-272	Oscillospirales 1 CAG-272	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1906	unclassified Anaerostipes	Anaerostipes	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1907	unclassified Bacteroides	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1908	unclassified Clostridioides	Clostridioides	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Firmicutes	Bacteria	unknown
msp_1910	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1911	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1912	unclassified Agathobacter	Agathobacter	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1913	unclassified Burkholderiaceae CAG-521	Burkholderiaceae CAG-521	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_1914	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1915	unclassified Bacilli RF39 CAG-433 CAG-494	Bacilli RF39 CAG-433 CAG-494	Bacilli RF39 CAG-433	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1916	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1917	unclassified Oscillospiraceae CAG-129	Oscillospiraceae CAG-129	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1919	unclassified Helcococcaceae	unclassified Helcococcaceae	Helcococcaceae-Ezakiellaceae	Tissierellales	Clostridia	Firmicutes	Bacteria	unknown
msp_1920	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1921	unclassified Bacilli RF39 CAG-822 CAG-822	Bacilli RF39 CAG-822 CAG-822	Bacilli RF39 CAG-822	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1922	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1923	Firmicutes bacterium CIM:MAG 1237	unclassified Clostridiales 1h	Clostridiales 1h	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1924	unclassified Clostridiales 1d	unclassified Clostridiales 1d	Clostridiales 1d	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1925	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1926	unclassified Bacilli ML615J-28 CAG-313	unclassified Bacilli ML615J-28 CAG-313	Bacilli ML615J-28 CAG-313	Bacilli ML615J-28	Bacilli	Firmicutes	Bacteria	unknown
msp_1927	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1928	unclassified Lachnospiraceae A	unclassified Lachnospiraceae A	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1929	unclassified Bacilli ML615J-28 CAG-313	unclassified Bacilli ML615J-28 CAG-313	Bacilli ML615J-28 CAG-313	Bacilli ML615J-28	Bacilli	Firmicutes	Bacteria	unknown
msp_1930	unclassified Lachnospiraceae B EuG	Lachnospiraceae B EuG	Lachnospiraceae B	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1931	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1932	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1933	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1934	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1935	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1936	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1938	unclassified Anaerovoracaceae	unclassified Anaerovoracaceae	Anaerovoracaceae	Peptostreptococcales	Clostridia	Firmicutes	Bacteria	unknown
msp_1939	unclassified Frisingicoccus	Frisingicoccus	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1940	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1941	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1942	[Clostridium] hiranonis	unclassified Peptostreptococcaceae	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Firmicutes	Bacteria	known
msp_1943	unclassified Solobacterium	Solobacterium	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	unknown
msp_1944	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1945	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1946	unclassified Anaerovoracaceae	unclassified Anaerovoracaceae	Anaerovoracaceae	Peptostreptococcales	Clostridia	Firmicutes	Bacteria	unknown
msp_1947	unclassified Lactobacillus H	Lactobacillus H	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	unknown
msp_1948	[Faecalicatena] orotica	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_1949	unclassified Mediterraneibacter	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1956	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1958	unclassified Sutterella	Sutterella	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_1962	unclassified Sutterella	Sutterella	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_1964	Lawsonibacter asaccharolyticus	Lawsonibacter	Oscillospirales 6	Oscillospirales	Clostridia	Firmicutes	Bacteria	known
msp_1967	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1968	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
